id,word,standard_meaning,simplified_meaning,image_url,audio_url,video_url,synonyms,antonyms,is_required,notes
13,phù sa,"đất, cát mịn và có nhiều chất màu được cuốn trôi theo dòng nước hoặc lắng đọng lại ở bờ sông, bãi bồi","đất, cát mịn được cuốn theo dòng nước hoặc đọng lại ở bờ sông, bãi bồi",phù sa. ảnh.jpg,,,{},{},True,*
14,cá ròng ròng,"một loại cá nhỏ đặc trưng, thường được bắt vào mùa mưa, khi nguồn cá tự nhiên trở nên dồi dào. Đặc điểm của cá ròng ròng là thân nhỏ, thịt mềm và vị ngọt tự nhiên","một loài cá thân nhỏ bằng ngón tay út, thường được bắt vào mùa mưa",cá ròng ròng. ảnh.jpg,,,{},{},True,*
15,ngập,"[1] (chất lỏng) tràn lên và phủ kín hoàn toàn
[2] ở sâu dưới bề mặt một khối gì đó, bị phủ lấp hết hoặc gần hết
[3] có nhiều và khắp cả trên một diện tích, đến mức như bao phủ, che lấp tất cả","mang hàm ý che phủ, phủ lấp
- tràn lên và phủ kín hoàn toàn (mưa ngập đường)
- chìm sâu dưới một bề mặt (chân ngập dưới bùn)
- có nhiều trên 1 diện tích đến mức có thể che phủ (đồng cỏ ngập hoa)",ngập. ảnh.jpg,,,{},"{khô ráo,cạn nước}",False,
16,lắt léo,"quanh co, ngoắt ngoéo","không thẳng, có nhiều lỗi rẽ quanh cô, phức tạp",lắt léo.ảnh.webp,,,{},{},False,
17,chim họa mi,"Chim họa mi là chim cảnh có khả năng hót hay và đá giỏi, thuộc họ chim sâu.","Chim họa mi là chim cảnh có khả năng hót hay và đá giỏi, thuộc họ chim sâu.",chim họa mi. ảnh.jfif,,,{},{},False,
18,vang lừng,"vang lên và truyền đi rất xa, như ở đâu cũng nghe thấy",tiếng hay và lan ra rất xa,,, vang lừng.mp4,"{vang xa,vang dội}","{im lặng,không ai biết}",False,
19,kì diệu,"có cái gì vừa rất lạ lùng như không cắt nghĩa nổi, vừa làm cho người ta phải ca ngợi, phải khâm phục","điều lạ lùng xảy ra làm người khác phải ngạc nhiên, ca ngợi",,,kì diệu,"{thần kì,diệu kì,đặc biệt,tuyệt vời}","{bình thường,tầm thường}",False,
20,rực rỡ,"có màu sắc tươi sáng đẹp đẽ và nổi bật hẳn lên, làm cho ai cũng phải chú ý","màu sắc tươi sáng, nổi bật, làm người khác phải chú ý",rực rỡ. ảnh.png,,,"{tươi sáng,chói lọi}","{tối tăm,nhạt nhòa}",False,
21,lấp lánh,"có ánh sáng phản chiếu không liên tục, nhưng đều đặn, vẻ sinh động","sáng nhưng không liên tục, nhấp nháy rất đẹp",lấp lánh. ảnh.jpg,,,"{lung linh,lóng lánh}","{tối mờ,mờ nhạt}",False,
22,nhẹ nhàng,"có tính chất nhẹ, cảm giác khoan khoái, dễ chịu không gây cảm giác gì nặng nề hoặc khó chịu vì không vướng bận gì","cảm giác nhẹ, dễ chịu, thoải mái, không khó chịu gì",,, nhẹ nhàng.mp4,"{êm ái,dịu dàng,từ tốn,chậm rãi}","{mạnh mẽ,dữ dội}",False,
23,dìu dặt,lúc nhanh lúc chậm một cách nhịp nhàng và êm nhẹ (thường nói về âm thanh),"âm thanh êm nhẹ, nghe rất nhẹ nhàng",,dìu dặt. sound.mp3,,"{du dương,êm ái}","{ồn ào,chói tai}",True,*
24,tưng bừng,"cảm giác nhộn nhịp, vui vẻ; có những biểu hiện rõ ràng, mạnh mẽ như bừng lên ","(quang cảnh, không khi) vui vẻ, nhộn nhịp, có nhiều âm thanh và cảnh vật đẹp, rực rỡ",,, tưng bừng.mp4,"{nhộn nhịp,rộn ràng,vui vẻ,náo nhiệt}","{vắng lặng,buồn tẻ}",False,
25,lộc,"[1] chồi lá non
[2] của trời hay các đấng thiêng liêng ban cho, theo quan niệm xưa","[1] chồi lá non, mới mọc
[2] vật/của quý được ban tặng",lộc. ảnh.webp,,,{},"{khô héo,tàn úa}",True,*
26,mong chờ,"trạng thái trông ngóng, đợi chờ điều gì đó, việc gì đó xảy ra.",chờ đợi với nhiều hy vọng điều gì sẽ diễn ra,,, mong chờ.mp4,"{mong đợi,trông đợi}","{thờ ơ,không quan tâm}",False,
27,đặc trưng,"nét riêng biệt và tiêu biểu, được xem là dấu hiệu để phân biệt với những sự vật khác","nét tiêu biểu, khác biệt với các sự vật khác",,,https://drive.google.com/file/d/1btNTdSh3NCOK4QUDzuk2-FzaX_oYbvIN/view?usp=drivesdk,"{đặc điểm,nét riêng}","{chung chung,giống nhau}",False,
28,rực rỡ,"có màu sắc tươi sáng đẹp đẽ và nổi bật hẳn lên, làm cho ai cũng phải chú ý","màu sắc tươi sáng, nổi bật, làm người khác phải chú ý",rực rỡ. ảnh.png,,,"{tươi sáng,chói lọi}","{tối tăm,nhạt nhòa}",False,
29,chúm chím,"từ gợi tả dáng vẻ hơi mấp máy và chúm lại, không hé mở ra","hơi khép lại, nhỏ xíu, chưa mở ra","chúm chím 2. ảnh.jfif
chúm chím 3. ảnh.webp
chúm chím. ảnh.jfif",,,{cười tủm tỉm},{khóc nức nở},False,
30,xinh xắn,xinh và rất ưa nhìn,đẹp,xinh xăn. ảnh.webp,,,"{dễ thương,xinh đẹp}",{xấu xí},False,
31,mạnh khỏe,"có sức khoẻ như mong muốn, không bị ốm đau","cơ thể khỏe, không bị ốm",mạnh khỏe 1. ảnh.jpg,,,"{khỏe mạnh,cường tráng}","{ốm yếu,bệnh tật}",False,
32,giỏi giang,"giỏi, tháo vát (nói khái quát)",làm tốt trong một công việc cụ thể,giỏi giang.png,,,"{tài giỏi,giỏi}",{kém cỏi},False,
33,quây quần,"tụ tập lại trong một không khí thân mật, đầm ấm","mọi người ở gần nhau, làm việc cùng nhau",quây quần 2. ảnh.webp,,,"{sum họp,tụ họp}","{chia xa,tản mác}",False,
34,tí ta tí tách,"từ mô phỏng tiếng động nhỏ, gọn, liên tiếp, không đều nhau như tiếng nước rơi xuống từng giọt cách quãng","âm thanh nhỏ, lặp lại từng tiếng",,, tí ta tí tách.mp4,"{lộp bộp,lách tách}",{im lặng},False,
35,lượn,"[1] di chuyển bằng cách chao nghiêng thân hoặc uốn mình theo đường vòng
[2] đi qua qua lại lại một nơi nào đó, không dừng lại lúc nào cả
","[1] di chuyển bằng cách uốn mình, đi theo đường cong, không thẳng 
[2] đi qua đi lại một nơi liên tục",lượn. ảnh.jpg,,,{chao liệng},"{đứng yên,nằm im}",True,*
36,chân đồi,một ngọn đồi thấp hoặc sườn dốc gồ ghề ở chân hoặc rìa của dãy núi; là địa hình chuyển tiếp giữa đồng bằng hoặc thung lũng bằng phẳng và các đỉnh núi cao hơn.,"vị trí chân hoặc rìa núi, thường dốc và thấp",chân đồi.png,,,{chân núi},{đỉnh đồi},False,
37,mênh mông,"hết sức lớn lao, rộng lớn và lan tỏa ra xung quanh đến mức như không có giới hạn",vô cùng rộng lớn như không có điểm kết thúc,mênh mông. ảnh.jpg,,,"{rộng lớn,bát ngát}","{chật hẹp,nhỏ bé}",False,
38,dìu dịu,"có tính chất gây cảm giác dễ chịu, tác động êm nhẹ đến các giác quan hoặc đến tinh thần","cảm giác nhẹ nhàng, dễ chịu, không mạnh, gay gắt",dìu dịu. ảnh.jpeg,,,"{nhẹ nhàng,êm dịu}","{gay gắt,dữ dội}",False,
39,dập dờn,"chuyển động lúc lên lúc xuống, lúc ẩn lúc hiện, lúc gần lúc xa nối tiếp nhau liên tiếp và nhịp nhàng","chuyển động lên xuống, từ xa đến gần nối tiếp nhau",,, dập dờn.mp4,"{nhấp nhô,lắc lư}",{đứng yên},True,*
40,ríu rít,"[1] mô phỏng những tiếng cao, trong và tiếp liền nhau, nghe không rõ từng tiếng
[2] gợi tả cảnh nhóm người tụ lại với nhau cười nói rộn ràng","nhiều tiếng nói nhỏ, vui và liên tục",,,ríu rít,"{líu lo,rộn ràng}","{im lặng,lặng lẽ}",False,
41,thu hoạch,"gặt hái, thu về những sản phẩm do kết quả lao động, học tập làm ra",lấy sản phẩm sau khi làm xong,thu hoạch.png,,,"{gặt hái,thu hái}",{gieo trồng},False,
42,âu yếm,"biểu lộ tình thương yêu, trìu mến bằng dáng điệu, cử chỉ, giọng nói","biệu hiện tình yêu thương một cách nhẹ nhàng, ấm ap qua hành động, lời nói",âu yếm.png,,,"{trìu mến,dịu dàng}","{lạnh nhạt,thờ ơ}",False,
43,vất vả,ở vào tình trạng phải bỏ ra nhiều sức lực hay tâm trí vào một việc gì trong một thời gian dài,tốn nhiều sức lực hay suy nghĩ cho một công việc trong thời gian dài,vất vả.png,,,"{cực nhọc,gian khổ}","{nhàn nhã,thoải mái}",False,
44,hạn hán,"hạn, nắng hạn nói chung","tình trạng nắng, khô, thiếu nước kéo dài",hạn hán.png,,,"{khô hạn,nắng hạn}","{mưa nhiều,ngập lụt}",False,
45,hạt thóc,hạt lúa còn nguyên cả vỏ trấu,"hạt gạo chưa bóc vỏ, màu nâu, không ăn được",https://drive.google.com/file/d/1GodxjdCDTp-wtH0oC0VNEOq5QnazLrAR/view?usp=drivesdk,,,{},{},False,
46,thiên tai,"những tai họa lớn do các hiện tượng thiên nhiên như bão, lụt, hạn hán, giá rét, động đất,... gây nên, làm ảnh hưởng nặng nề đến đời sống và sản xuất","những tai họa tự nhiên như bão, lụt, hạn hán, động đất,... gây ảnh hưởng nặng nề đến đời sống con người",https://drive.google.com/file/d/13WIUjo5oFmyKHFiHJZbxjzLX7-ety99-/view?usp=drivesdk,,,{},{},True,*
47,bình dị,"bình thường, giản dị","bình thường, giản dị",1. bình dị. photo.jpg,,,"{Giản dị,mộc mạc,đơn sơ,chân phương,khiêm nhường}","{Xa hoa,lộng lẫy,phô trương,hào nhoáng,cầu kỳ.}",False,
48,lũy tre,hàng tre trồng rất dày,"nhiều cây tre trồng thành nhiều hàng, rất dày ",lũy tre.webp,,,"{Rặng tre,hàng tre,khóm tre,bụi tre,ngàn tre.}",{},False,
49,rì rào,"từ mô phỏng những âm thanh nhỏ, êm nhẹ, phát ra đều đều, liên tiếp như tiếng sóng vỗ, tiếng gió thổi","những âm thanh nhỏ, nhẹ phát ra đều đều, liên tiếp ",,Âm thanh thư giãn - Tiếng gió rì rào,,{},{},False,
50,bần thần,"kém vẻ linh hoạt vì mệt mỏi hoặc vì đang có điều băn khoăn, lo nghĩ",nhìn kém linh hoạt vì mệt mỏi hoặc vì đang có điều cần suy nghĩ,bần thần.png,,,{},{},True,*
51,nâng,"(1) đưa lên cao
(2) đỡ ai đó dậy","(1) đưa lên cao
(2) đỡ ai đó dậy",nâng.webp,,,"{nhấc,đỡ}",{},False,
52,lon xon,"gợi tả dáng đi, chạy với những bước ngắn, nhanh nhẹn, hồ hởi","tả dáng đi, chạy nhanh, trông rất đáng yêu",,, 2.lon ton. video.mp4,{},{},True,*
53,sáo,"chim nhỏ, lông đen có điểm trắng ở cánh, thường sống thành đàn
","loài chim nhỏ, lông đen có vệt trắng ở cánh, sống thành đàn
",https://drive.google.com/file/d/1-e24dP_4a9iPgUw5iMTo_Oo2mbVrcBuz/view?usp=sharing,,,{},{},False,
54,con liếu điếu  (có ảnh),"Con Liếu Điếu là một loài chim nhỏ, dài khoảng 12–15 cm, với bộ lông mượt mà, mềm mại, kết hợp ba màu chính: trắng, nâu đỏ và xám. ","loài chim có bộ lông 3 màu: trắng, nâu đỏ và xám",chim liếu điếu.jpg,,,{},{},True,
55,tếu,"có cử chỉ, lời nói vui nhộn, cố tình gây cười một cách nghịch ngợm, nhiều khi thiếu nghiêm chỉnh","cử chỉ hài hước, vui nhộn",https://drive.google.com/file/d/1ll_6eUhEqFXZCyu4j1Y-rFS7M0RGEyX5/view?usp=sharing,,,"{hài hước,vui tính,hóm hỉnh,nghịch ngợm,tếu táo}","{nghiêm nghị,lầm lì,khó tính,nhạt nhẽo}",False,
56,con chìa vôi,"loài chim đồng cỡ nhỏ, lông đen, đuôi và cánh có vệt trắng, đuôi luôn cử động, ăn sâu bọ","loài chim nhỏ ăn sâu bọ, có lông đen, đuôi và cánh có vệt trắng",https://drive.google.com/file/d/1Xd_xIQNLw39TFqqRQW2abd6IsNzI2rJz/view?usp=sharing,,,{},{},False,
57,chim chèo bẻo,"chim lông đen, cánh dài, đuôi dài chẻ thành hai nhánh, hay ăn sâu bọ.","loài chim ăn sâu bọ, lông đen, cánh dài, đuôi dài chẻ thành hai nhánh ",https://drive.google.com/file/d/10L3G_grbESkLYhKlOCXDphzUcmjrpLAF/view?usp=sharing,,,{},{},False,
58,mách lẻo,"nói cho người này chuyện riêng của người khác một cách không cần thiết, thường với dụng ý không tốt ",nói chuyện của người này cho người khác,https://drive.google.com/file/d/1q1wiuXOERimMlkzpKs6Hi32aofD8FiZR/view?usp=sharing,,,{},{},False,
59,(nhặt) lân la,"tìm cách tiếp cận dần dần từng bước, tạo ra một mối quan hệ tiếp xúc gần gũi, nhằm thực hiện mục đích nhất định","nhặt xung quanh, không đi xa",,,  3. lân la. video.mp4,{},{},True,*
60,chim sẻ,"chim nhỏ, lông màu hạt dẻ, có vằn, mỏ hình nón, thường sống thành đàn, ăn các hạt ngũ cốc","loài chim nhỏ lông màu hạt dẻ, sống thành đàn, ăn các loại hạt ngũ cốc",chim sẻ.jpg,,,{},{},False,
61,chim sâu,"chim nhỏ, lông xanh xám, thường sống ở các bụi cây, ăn sâu nhỏ","loài chim nhỏ lông xanh xám, thường sống ở các bụi cây, ăn sâu nhỏ",chim sâu.png,,,{},{},False,
62,tu hú,"chim có lông màu đen hoặc đen nht có nhiều chấm trắng, thường đẻ trứng vào tổ sáo sậu hoặc chim ác và kêu vào đầu mùa hè ","loài chim có lông màu đen hoặc đen nhạt có nhiều chấm trắng, thường kêu vào đầu mùa hè ",tu hú chấm trắng.jpg,,,{},{},False,
63,cú mèo,cú có 2 túm lông trên đầu giống như tai mèo,loài cú có 2 túm lông trên đầu giống như tai mèo,https://drive.google.com/file/d/1FMoVaBhFJN5UyQAd54ajHqUWscoTJSVv/view?usp=sharing,,,{},{},False,
64,khủng long,loài bò sát lớn cổ xưa nay đã bị tuyệt diệt.,"loài động vật bò sát to lớn, ăn thịt, đã tuyệt chủng",https://drive.google.com/file/d/1IuRrxaz1POiBFYmoSKuu5jn-sU9V3J6s/view?usp=sharing,,,{},{},False,
65,khổng lồ,"có kích thước, quy mô, khối lượng lớn gấp nhiều lần so với bình thường","có số lượng, quy mô, kích thước vô cùng lớn",https://drive.google.com/file/d/1FhYg2oQR9-M9WcIQ8Y20fQLLWOgFOWXh/view?usp=sharing,,,"{đồ sộ,to lớn}","{tí hon,tí xíu}",False,
66,tự vệ,sự bảo vệ mình chống lại mọi sự xâm phạm từ bên ngoài,sự tự bảo vệ bản thân,4. tự vệ. photo.webp,,,{},{},True,*
67,dũng mãnh,dũng cảm và mạnh mẽ một cách phi thường,rất dũng cảm và mạnh mẽ ,dũng mãnh.png,,,"{dũng cảm,mạnh mẽ}","{Yếu đuối,nhát gan}",True,*
68,tuyệt chủng,bị mất hẳn nòi giống,sự biến mất hoàn toàn của một loài động vật hoặc thực vật,,,tuyệt chủng ,{},{},True,*
69,mảnh khảnh,"cao, gầy và mảnh, trông yếu","cao, gầy và mảnh, trông yếu",https://drive.google.com/file/d/1kbZbFxKVxHtYCdIrWlmmhh3eR3BVPbtR/view?usp=sharing,,,{},{},True,*
70,nhỏ xíu,"rất nhỏ, như không còn nhỏ hơn được nữa","rất nhỏ, như không còn nhỏ hơn được nữa",https://drive.google.com/file/d/1VpDRQtI7TdyxyVj1Nfxyi05oOVLWIk7f/view?usp=sharing,,,"{bé tí,tí xíu}","{to tướng,to đùng,khổng lồ}",False,
71,bồ nông,"chim cỡ lớn, mỏ to và dài, cổ có bìu đựng mồi kiếm được, sống từng đàn ở bờ sông, bờ biển, thường bắt cá ăn.","loài chim cỡ lớn, mỏ to và dài, cổ có bìu đựng mồi kiếm được, sống theo đàn ở bờ sông, bờ biển, thường bắt cá ăn.",https://drive.google.com/file/d/1KK6onSVb21URFDB8uF7AlKZ4kMg38u9t/view?usp=sharing,,,{},{},False,
72,bói cá,"chim sống ở gần nước, mỏ dài, lông xanh, ngực nâu, hay nhào xuống nước để bắt cá.","loài chim mỏ dài, lông xanh, ngực nâu, hay nhào xuống nước để bắt cá",https://drive.google.com/file/d/1nDAWijpCirt-jpjyQGLasmUcFs8mSOdH/view?usp=sharing,,,{},{},False,
73,chim cu,"loài chim có vòng lông quanh cổ trông như hạt cườm, thường hay gáy cúc cu cu.","loài chim có vòng lông quanh cổ trông như hạt cườm, thường hay gáy cúc cu cu.",https://drive.google.com/file/d/1A3sHHjggAt83vqWRSkomYVwbL7onZqUH/view?usp=sharing,,,{},{},False,
74,chổi tre,"Cái chổi làm bằng tre, dùng để quét nhà",Chổi làm bằng tre,Chổi tre.jpg,,,{},{},False,
75,xao xác,"Tiếng cánh chim vỗ, tiếng gà gáy, v.v. nối tiếp nhau làm xao động cảnh không gian vắng lặng",Âm thanh nối tiếp nhau làm xao động âm thanh vắng lăngj,,, xao xạc.mp4,{},{},True,*
76,cơn giông,"hiện tượng thời tiết phức hợp, xảy ra do sự đối lưu rất mạnh trong khí quyển, đặc trưng bởi sấm sét, chớp, gió mạnh, mưa rào, và đôi khi có mưa đá hoặc vòi rồng","Cơn mưa lớn, rất nguy hiểm ",Cơn dông.webp,,,{},{},False,
77,lặng ngắt,"Im lặng hoàn toàn, tuyệt đối","Im lặng, không có âm thanh",,, lặng ngắt.mp4,"{Tĩnh lặng,im thin thít}",{},False,
78,chị/ cô lao công,"Người làm việc chân tay đơn giản (như quét dọn, làm vệ sinh, v.v.) ở cơ quan, xí nghiệp.","Người quét dọn, làm vệ sinh, v.v.",co-lao-cong-700-1713865316.jpg,,,"{Nhân viên dọn dẹp,nhân viên vệ sinh}",{},True,*
79,rét,"Nghĩa 1: Chỉ thời tiết có nhiệt độ thấp đến mức cơ thể cảm thấy khó chịu
Nghĩa 2: Có cảm giác lạnh trong người, thường khiến cho phải run lên",Trái nghĩa với ấm ,Rét.avif,,,"{Lạnh,cóng,buốt}","{Nóng,ấm}",False,
80,bừng tỉnh,"diễn tả hành động tỉnh giấc, mở mắt thức dậy một cách đột ngột, nhanh chóng và hoàn toàn, thường do tác động mạnh từ bên ngoài (tiếng ồn, ánh sáng) hoặc nội tại (giật mình, nỗi sợ)",Tỉnh giấc một cách nhanh chóng,,, bừng tỉnh.video.mp4,"{Thức tỉnh,tỉnh dậy}",{},True,
81,ấm áp,Ấm và gây cảm giác dễ chịu,Ấm và gây cảm giác dễ chịu,ấm.jpg,,,{},"{lạnh,rét,cóng,buốt}",False,
82,chim én,"Tên một loài chim di cư nhỏ, nổi bật với đôi cánh nhọn, đuôi chẻ sâu, bay nhanh và chuyên săn côn trùng trên không","Tên loài chim nhỏ có đôi cánh chẻ nhọn, báo mùa xuân về",Chim én.webp,,,{},{},False,
83,sửa soạn,Lo liệu và sắp đặt các thứ để làm việc gì đó,"Chuẩn bị, sắp xếp ",,, sửa soạn.mp4,"{Chuẩn bị,sắp xếp}",{},True,
84,khóc nấc,Tiếng khóc đứt quãng bởi tiếng nấc,Tiếng khóc đứt quãng bởi tiếng nấc,,,,{nức nở},{},True,
85,thút thít,"Từ gợi tả tiếng khóc nhỏ và ngắt quãng, xen với tiếng xịt mũi",Âm thanh tiếng khóc nhỏ,,, thút thít.mp4,{},{},True,*
86,yên tâm,"Trạng thái tâm lí yên ổn, không có gì phải băn khoăn, lo lắng","Cảm giác yên ổn, không có gì phải lo lắng",yên tâm.jpg,,,"{Yên lòng,an tâm}","{Lo lắng,lo âu}",True,
87,nhoẻn miệng,"Miệng nhếch lên, tạo thành nụ cười ","Miệng nhếch lên, tạo thành nụ cười ",Nhoẻn miệng.webp,,,{Nhếch miệng},{},False,
88,sao biển,"Một loài sinh vật sống dưới biển, có hình ngôi sao",Sinh vật dưới nước có hình ngôi sao,sao biển.webp,,,{},{},False,
89,thủy triều,"Hiện tượng nước biển dâng lên rút xuống một hai lần trong ngày, chủ yếu do sức hút của Mặt Trăng và Mặt Trời","Hiện tượng nước biển dâng lên rút xuống, bị ảnh hưởng bởi Mặt Trăng và Mặt Trời",,,thủy 5i4u,{},{},True,*
90,đại dương,"Biển lớn, tiếp giáp với cả một châu hoặc một vùng lớn hơn",Vùng biển lớn,Đại dương.webp,,,{Biển cả},{},False,
91,trìu mến,Biểu lộ tình yêu thương tha thiết,Cái nhìn yêu thương,trìu mến.jpg,,,"{Dịu dàng,âu yếm,yêu thương}","{căm ghét,ghét bỏ}",True,
92,cánh cam,"Bọ cánh cứng cùng họ với bọ hung, thân màu xanh biếc.","Bọ cánh cứng, thân màu xanh biếc.",cánh cam.webp,,,{},{},False,
93,tập tễnh,"Chỉ dáng đi không cân, không đều, bên cao bên thấp, vẻ ngả nghiêng, dễ ngã","Dáng đi bên cao bên thấp, vẻ ngả nghiêng, dễ ngã",,, tập tễnh.mp4,{Khập khiễng},{},True,*
94,óng ánh,"Phản chiếu ánh sáng lấp lánh, trông đẹp mắt","Ánh sáng lấp lánh, trông đẹp mắt",óng ánh.webp,,,"{Lấp lánh,long lanh,lung linh}",{},True,*
95,khệ nệ,Dáng đi chậm chạp và nặng nề như đang phải mang vác nặng,Dáng đi chậm chạp và nặng nề như đang phải mang vác nặng,,, khệ nệ - mute (1).mp4,{},{},True,*
96,tròn lẳn,"Rất tròn, rất dễ lăn ","Rất tròn, rất dễ lăn ",Tròn lẳn.webp,,,"{Tròn xoe,tròn vo}",{},False,
97,cẩn thận,"Thận trọng trong hành động hoặc lời nói của mình, tránh sơ suất, để khỏi xảy ra điều bất lợi hoặc không hay","chú ý trong hành động hoặc lời nói của mình, tránh xảy ra điều không hay",,,,{},"{ẩu,vội vàng,hấp tấp}",True,
98,ngơ ngác,Ở trạng thái không định thần được trước cảnh vật quá xa lạ hoặc sự việc diễn biến quá bất ngờ,Cảm thấy khó hiểu trước những sự việc bất ngờ diễn ra,ngơ ngác.jpg,,,{},{},True,
99,hi vọng,Tin tưởng và mong chờ điều tốt đẹp đến,Tin tưởng và mong chờ điều tốt đẹp đến,https://drive.google.com/file/d/1KbXZ_MRY_yB09kq2ctBQzhjknGO1MUHE/view?usp=drivesdk,,,{},{Tuyệt vọng},True,
100,phổ biến,"Có tính chất chung, có thể áp dụng cho cả một tập hợp các sự vật, hiện tượng","Có những đặc điểm, chi tiết giống nhau giữa các sự vật, hiện tượng",phổ biến.jpg,,,{Đại trà},"{Độc đáo,mới lạ}",False,
101,đặc biệt,"Khác hẳn những trường hợp thông thường về tính chất, chức năng hoặc mức độ","Sự khác biệt không phải sự vật, hiện tượng nào cũng có",đặc biệt.jpg,,,{},{Bình thường},False,
102,nhẹ nhàng,"Có tính chất nhẹ, không gây cảm giác gì nặng nề hoặc khó chịu",Trái ngược với nặng,nhẹ nhàng.jpg,,,"{Dịu dàng,hiền hòa}","{Hung dữ,hùng hổ,dữ tợn,mạnh mẽ}",False,
103,truyền thống,"Thói quen hình thành đã lâu đời trong lối sống và nếp nghĩ, được truyền lại từ thế hệ này sang thế hệ khác","Những sự vật, sự kiện, hiện tượng được truyền lại từ các đời trước","Truyền thống.jpg
truyền thống 2.jpg",,,{},{},False,
104,giao tiếp,"Trao đổi, tiếp xúc với nhau","Trao đổi, tiếp xúc với nhau",giao tiếp.jpg,,,"{Giao lưu,trò chuyện,nói chuyện}",{},False,
105,thư viện,"Nơi lưu giữ sách báo, tài liệu với số lượng lớn và tổ chức cho bạn đọc sử dụng","Nơi lưu giữ sách báo, tài liệu với số lượng lớn",giao tiếp.jpg,,,{},{},False,
106,thế giới,"Trái Đất, nơi toàn thể loài người đang sinh sống","Trái Đất, nơi toàn thể loài người đang sinh sống",Thế giới.webp,,,"{Trái đất,quả đất}",{},False,
107,khổng lồ,"Có kích thước, quy mô, khối lượng lớn gấp nhiều lần so với bình thường",Rất to lớn,khổng lồ.jpg,,,{To lớn},"{Bé nhỏ,tí hon,nhỏ nhắn}",False,
108,di động,Chuyển động thay đổi vị trí,Chuyển động thay đổi vị trí,,, di động.mp4,"{Di chuyển,chuyển động,cử động}","{Đứng yên,đứng im}",True,*
109,người thủ thư,Người quản lí sách của thư viện.,Người quản lí sách của thư viện.,Thủ thư.webp,,,{},{},True,*
110,sa mạc,"Vùng rộng lớn có khí hậu rất khô, không có nước, hầu như không có cây cối và động vật sinh sống, trừ ở một số ốc đảo","Nơi rộng lớn, ít cây xanh, thời tiết rất nóng bức",Sa mạc.webp,,,{},{},True,*
111,phật ý,không vui vì không được vừa ý,không vui vì không được vừa ý,,,,"{giận lòng,mất lòng}","{hài lòng,vui lòng}",True,*
