id,van_ban,tu_vung,giai_nghia_chuan,nghia_tinh_gon,hinh_anh,am_thanh,video,minh_hoa_khac,tu_lien_quan,cau_minh_hoa,ghi_chu
24,"Bài 3:
Họa mi hót",tưng bừng,"cảm giác nhộn nhịp, vui vẻ; có những biểu hiện rõ ràng, mạnh mẽ như bừng lên ","(quang cảnh, không khi) vui vẻ, nhộn nhịp, có nhiều âm thanh và cảnh vật đẹp, rực rỡ",,, tưng bừng.mp4,,"đồng nghĩa: nhộn nhịp, rộn ràng, vui vẻ, náo nhiệt

trái nghĩa: vắng lặng, buồn tẻ 

cụm từ thường dùng: không khí tưng bừng","Sân trường tưng bừng trong ngày khai giảng.

Không khí lễ hội thật tưng bừng.

Cả làng tưng bừng đón Tết.",
25,"Bài 3:
Họa mi hót",lộc,"[1] chồi lá non
[2] của trời hay các đấng thiêng liêng ban cho, theo quan niệm xưa","[1] chồi lá non, mới mọc
[2] vật/của quý được ban tặng",lộc. ảnh.webp,,,,"Trái nghĩa: khô héo, tàn úa 

cụm từ thường dùng: lộc biếc, lộc xuân, lộc non, chồi non ","- Mùa xuân, cây trổ lộc báo hiệu một năm mới may mắn

Cây bàng trước sân trường đang nhú lộc non.

Mùa xuân mang đến những chồi lộc xanh.

Cành đào có nhiều lộc biếc.",*
26,Bài 4: Tết đến rồi,mong chờ,"trạng thái trông ngóng, đợi chờ điều gì đó, việc gì đó xảy ra.",chờ đợi với nhiều hy vọng điều gì sẽ diễn ra,,, mong chờ.mp4,,"Cụm từ: khắc khoải mong chờ (mong chờ rất lâu)

Từ đồng nghĩa: mong đợi, trông đợi

Từ gần nghĩa: hy vọng, chờ đợi

Từ trái nghĩa: thờ ơ, không quan tâm

Cụm từ thường dùng: mong chờ tin tốt","- Lan đang mong chờ được gặp lại người bạn thân sau nhiều ngày xa cách

Em mong chờ ngày được gặp lại bạn bè.

Cả lớp mong chờ chuyến tham quan sắp tới.

Mọi người mong chờ một tin vui.",
27,Bài 4: Tết đến rồi,đặc trưng,"nét riêng biệt và tiêu biểu, được xem là dấu hiệu để phân biệt với những sự vật khác","nét tiêu biểu, khác biệt với các sự vật khác",,,https://drive.google.com/file/d/1btNTdSh3NCOK4QUDzuk2-FzaX_oYbvIN/view?usp=drivesdk,,"Cụm từ: đặc trưng văn hóa, nét đặc trưng riêng

Từ đồng nghĩa: đặc điểm, nét riêng

Từ gần nghĩa: tiêu biểu, điển hình

Từ trái nghĩa: chung chung, giống nhau

Cụm từ thường dùng: nét đặc trưng","- Hoa đào là loài hoa đặc trưng cho mùa xuân ở Miền Bắc

Áo dài là trang phục đặc trưng của Việt Nam.

Mỗi vùng miền đều có món ăn đặc trưng riêng.

Giọng nói của cô có nét đặc trưng rất dễ nhận ra.",
28,Bài 4: Tết đến rồi,rực rỡ,"có màu sắc tươi sáng đẹp đẽ và nổi bật hẳn lên, làm cho ai cũng phải chú ý","màu sắc tươi sáng, nổi bật, làm người khác phải chú ý",rực rỡ. ảnh.png,,,,"Cụm từ: màu sắc rực rỡ, nắng rực rỡ

Từ đồng nghĩa: tươi sáng, chói lọi

Từ gần nghĩa: nổi bật, lung linh

Từ trái nghĩa: tối tăm, nhạt nhòa

Cụm từ thường dùng: màu sắc rực rỡ","- Ngoài vườn, trăm hoa đua nở rực rỡ.

Những bông hoa nở rực rỡ trong vườn.

Pháo hoa rực rỡ trên bầu trời đêm.

Chiếc váy của cô bé có màu sắc rất rực rỡ.",
29,Bài 4: Tết đến rồi,chúm chím,"từ gợi tả dáng vẻ hơi mấp máy và chúm lại, không hé mở ra","hơi khép lại, nhỏ xíu, chưa mở ra","chúm chím 2. ảnh.jfif
chúm chím 3. ảnh.webp
chúm chím. ảnh.jfif",,,,"Cụm từ: miệng cười chúm chím, nụ hoa chúm chím

Từ đồng nghĩa: cười tủm tỉm

Từ gần nghĩa: mỉm cười, cười nhẹ

Từ trái nghĩa: khóc nức nở

Cụm từ thường dùng: cười chúm chím","- Mỗi lần nghĩ đến phần thưởng khi được điểm tốt, cô ấy lại chúm chím môi cười, mắt sáng lên.

Cô bé chúm chím cười khi được khen.

Em bé chúm chím khi nhìn thấy mẹ.

Bạn Lan chúm chím cười rất dễ thương.",
30,Bài 4: Tết đến rồi,xinh xắn,xinh và rất ưa nhìn,đẹp,xinh xăn. ảnh.webp,,,,"Cụm từ: gương mặt xinh xắn, căn phòng xinh xắn

Từ đồng nghĩa: dễ thương, xinh đẹp

Từ gần nghĩa: đáng yêu

Từ trái nghĩa: xấu xí

Cụm từ thường dùng: cô bé xinh xắn","- Bé Hoa có gương mặt xinh xắn và rất đáng yêu

Cô bé có khuôn mặt rất xinh xắn.

Búp bê của em trông thật xinh xắn.

Con mèo nhỏ xinh xắn đang nằm ngủ.",
31,Bài 4: Tết đến rồi,mạnh khỏe,"có sức khoẻ như mong muốn, không bị ốm đau","cơ thể khỏe, không bị ốm",mạnh khỏe 1. ảnh.jpg,,,,"Cụm từ: thân thể mạnh khỏe

Từ đồng nghĩa: khỏe mạnh, cường tráng

Từ gần nghĩa: dẻo dai

Từ trái nghĩa: ốm yếu, bệnh tật

Cụm từ thường dùng: cơ thể mạnh khỏe","- Em chăm tập thể dục để giữ thân thể mạnh khỏe và tinh thần thoải mái.

Ông em vẫn rất mạnh khỏe dù đã lớn tuổi.

Các bạn nhỏ cần ăn uống đủ chất để mạnh khỏe.",
32,Bài 4: Tết đến rồi,giỏi giang,"giỏi, tháo vát (nói khái quát)",làm tốt trong một công việc cụ thể,giỏi giang.png,,,,"Cụm từ: học hành giỏi giang, buôn bán giỏi giang

Từ đồng nghĩa: tài giỏi, giỏi

Từ gần nghĩa: khéo léo, thông minh

Từ trái nghĩa: kém cỏi

Cụm từ thường dùng: người phụ nữ giỏi giang","- Mẹ chỉ mong em mạnh khỏe và học hành giỏi giang.

Chị của em rất giỏi giang trong học tập.

Bạn Lan là một học sinh giỏi giang.

Cô bé giỏi giang giúp đỡ bố mẹ nhiều việc.",
33,Bài 4: Tết đến rồi,quây quần,"tụ tập lại trong một không khí thân mật, đầm ấm","mọi người ở gần nhau, làm việc cùng nhau",quây quần 2. ảnh.webp,,,,"Cụm từ: quây quần đông đủ

Từ đồng nghĩa: sum họp, tụ họp

Từ gần nghĩa: đoàn tụ, tụ tập

Từ trái nghĩa: chia xa, tản mác

Cụm từ thường dùng: quây quần bên nhau","- Mỗi khi Tết hè, nhà tôi lại ngồi quây quần bên mâm cơm và xem chương trình Chào năm mới.

Cả gia đình quây quần bên mâm cơm.

Mọi người quây quần bên bếp lửa trong đêm đông.

Ngày Tết là dịp để gia đình quây quần bên nhau.",
34,"Bài  5:
Giọt nước và biển lớn",tí ta tí tách,"từ mô phỏng tiếng động nhỏ, gọn, liên tiếp, không đều nhau như tiếng nước rơi xuống từng giọt cách quãng","âm thanh nhỏ, lặp lại từng tiếng",,, tí ta tí tách.mp4,,"Cụm từ: mưa rơi tí ta tí tách, tiếng nước tí ta tí tách

Từ đồng nghĩa: lộp bộp, lách tách

Từ gần nghĩa: rào rào (âm thanh mưa lớn)

Từ trái nghĩa: im lặng

Cụm từ thường dùng: rơi tí tách","- Ngoài trời mưa rơi tí ta tí tách

Mưa rơi tí ta tí tách trên mái nhà.

Em nghe tiếng nước tí ta tí tách ngoài hiên.

Những giọt mưa tí ta tí tách rơi xuống lá.",
35,"Bài  5:
Giọt nước và biển lớn",lượn,"[1] di chuyển bằng cách chao nghiêng thân hoặc uốn mình theo đường vòng
[2] đi qua qua lại lại một nơi nào đó, không dừng lại lúc nào cả
","[1] di chuyển bằng cách uốn mình, đi theo đường cong, không thẳng 
[2] đi qua đi lại một nơi liên tục",lượn. ảnh.jpg,,,,"Cụm từ: lượn qua lượn lại, bay lượn, uốn lượn, lượn quanh

Từ đồng nghĩa: chao liệng

Từ gần nghĩa: bay vòng, bay quanh

Từ trái nghĩa: đứng yên, nằm im

Cụm từ thường dùng: bay lượn, lượn vòng","- Dòng sông lượn vòng quanh chân núi

Những cánh chim lượn trên bầu trời.

Con diều bay lượn theo chiều gió.

Đàn chim lượn vòng trên cánh đồng.",*
36,"Bài  5:
Giọt nước và biển lớn",chân đồi,một ngọn đồi thấp hoặc sườn dốc gồ ghề ở chân hoặc rìa của dãy núi; là địa hình chuyển tiếp giữa đồng bằng hoặc thung lũng bằng phẳng và các đỉnh núi cao hơn.,"vị trí chân hoặc rìa núi, thường dốc và thấp",chân đồi.png,,,,"Cụm từ: dưới chân đồi

Từ liên quan: sườn đồi, đỉnh đồi

Từ gần nghĩa: chân núi

Từ trái nghĩa: đỉnh đồi

Cụm từ thường dùng: ngôi nhà dưới chân đồi","- Dưới chân đồi, đàn trâu đang gặm cỏ.

Ngôi nhà nhỏ nằm dưới chân đồi.

Những ruộng ngô xanh mướt ở chân đồi.

Chúng em dừng chân nghỉ dưới chân đồi.",
37,"Bài  5:
Giọt nước và biển lớn",mênh mông,"hết sức lớn lao, rộng lớn và lan tỏa ra xung quanh đến mức như không có giới hạn",vô cùng rộng lớn như không có điểm kết thúc,mênh mông. ảnh.jpg,,,,"Cụm từ: đại dương mênh mông, mênh mông bất tận

Từ đồng nghĩa: rộng lớn, bát ngát

Từ gần nghĩa: bao la

Từ trái nghĩa: chật hẹp, nhỏ bé

Cụm từ thường dùng: biển mênh mông","- Xa xa những ruộng bậc thang trải dài mênh mông.

Cánh đồng lúa trải dài mênh mông.

Biển xanh mênh mông trước mắt em.

Bầu trời cao rộng và mênh mông.",
38,Bài 6: Mùa vàng,dìu dịu,"có tính chất gây cảm giác dễ chịu, tác động êm nhẹ đến các giác quan hoặc đến tinh thần","cảm giác nhẹ nhàng, dễ chịu, không mạnh, gay gắt",dìu dịu. ảnh.jpeg,,,,"Cụm từ: ánh sáng dìu dịu, hương thơm dìu dịu

Từ đồng nghĩa: nhẹ nhàng, êm dịu

Từ gần nghĩa: thoang thoảng

Từ trái nghĩa: gay gắt, dữ dội

Cụm từ thường dùng: hương thơm dìu dịu","- Sáng sớm, ánh sáng dìu dịu chiếu qua cửa sổ.

Hương hoa lan tỏa mùi thơm dìu dịu.

Cơn gió dìu dịu thổi qua khu vườn.

Mùi hương dìu dịu khiến em rất dễ chịu.",
39,Bài 6: Mùa vàng,dập dờn,"chuyển động lúc lên lúc xuống, lúc ẩn lúc hiện, lúc gần lúc xa nối tiếp nhau liên tiếp và nhịp nhàng","chuyển động lên xuống, từ xa đến gần nối tiếp nhau",,, dập dờn.mp4,,"Cụm từ: sóng biển dập dờn, ánh lửa dập dờn

Từ đồng nghĩa: nhấp nhô, lắc lư

Từ gần nghĩa: chập chờn

Từ trái nghĩa: đứng yên

Cụm từ thường dùng: sóng dập dờn","- Ngoài khơi, sóng biển dập dờn đua nhau chạy về bờ.

Những con sóng dập dờn trên mặt biển.

Thuyền nhỏ dập dờn theo làn nước.

Cánh hoa dập dờn trong gió.",*
40,Bài 6: Mùa vàng,ríu rít,"[1] mô phỏng những tiếng cao, trong và tiếp liền nhau, nghe không rõ từng tiếng
[2] gợi tả cảnh nhóm người tụ lại với nhau cười nói rộn ràng","nhiều tiếng nói nhỏ, vui và liên tục",,,ríu rít,,"Cụm từ: chim hót ríu rít, đám trẻ ríu rít, trò chuyện ríu rít

Từ đồng nghĩa: líu lo, rộn ràng

Từ gần nghĩa: nhộn nhịp

Từ trái nghĩa: im lặng, lặng lẽ

Cụm từ thường dùng: ríu rít nói cười","- Các bạn nhỏ nói chuyện ríu rít.

Đàn chim ríu rít trên cành cây.

Các bạn nhỏ ríu rít trò chuyện.

Tiếng chim ríu rít làm buổi sáng thêm vui.",
41,Bài 6: Mùa vàng,thu hoạch,"gặt hái, thu về những sản phẩm do kết quả lao động, học tập làm ra",lấy sản phẩm sau khi làm xong,thu hoạch.png,,,,"Cụm từ: thu hoạch lúa, thu hoạch ngô, thu hoạch khoai, mùa thu hoạch, thu hoạch kiến thức

Từ đồng nghĩa: gặt hái, thu hái

Từ gần nghĩa: gặt lúa, hái quả

Từ trái nghĩa: gieo trồng

Cụm từ thường dùng: thu hoạch mùa màng","- Đến mùa thu hoạch, các bác nông dân rất bận rộn.

Nông dân đang thu hoạch lúa trên cánh đồng.

Mùa thu hoạch đến, ai cũng bận rộn.

Vườn cam nhà em đang vào mùa thu hoạch.",
42,Bài 6: Mùa vàng,âu yếm,"biểu lộ tình thương yêu, trìu mến bằng dáng điệu, cử chỉ, giọng nói","biệu hiện tình yêu thương một cách nhẹ nhàng, ấm ap qua hành động, lời nói",âu yếm.png,,,,"Cụm từ: cái ôm âu yếm, cử chỉ âu yếm

Từ đồng nghĩa: trìu mến, dịu dàng

Từ gần nghĩa: yêu thương, thân mật

Từ trái nghĩa: lạnh nhạt, thờ ơ

Cụm từ thường dùng: cử chỉ âu yếm","- Bà ngoại nhìn em âu yếm, ánh mắt ngập tràn tình yêu

Mẹ âu yếm xoa đầu em.

Cô giáo nhìn học sinh bằng ánh mắt âu yếm.

Bà âu yếm ôm cháu vào lòng.",
43,Bài 6: Mùa vàng,vất vả,ở vào tình trạng phải bỏ ra nhiều sức lực hay tâm trí vào một việc gì trong một thời gian dài,tốn nhiều sức lực hay suy nghĩ cho một công việc trong thời gian dài,vất vả.png,,,,"Cụm từ: làm ăn vất vả, vất vả sớm khuya

Từ đồng nghĩa: cực nhọc, gian khổ

Từ gần nghĩa: khó nhọc, nhọc nhằn

Từ trái nghĩa: nhàn nhã, thoải mái

Cụm từ thường dùng: làm việc vất vả","- Dù phải đi đường xa vất vả, em vẫn về quê thăm bà thường xuyên

Bố mẹ làm việc rất vất vả để nuôi em ăn học.

Người nông dân vất vả ngoài đồng.

Sau một ngày làm việc vất vả, ai cũng muốn nghỉ ngơi.",
44,Bài 6: Mùa vàng,hạn hán,"hạn, nắng hạn nói chung","tình trạng nắng, khô, thiếu nước kéo dài",hạn hán.png,,,,"Cụm từ: hạn hán kéo dài, sa mạc hạn hán

Từ đồng nghĩa: khô hạn, nắng hạn

Từ gần nghĩa: thiếu nước

Từ trái nghĩa: mưa nhiều, ngập lụt

Cụm từ thường dùng: mùa hạn hán","- Năm nay hạn hán kéo dài nên mùa màng không được bội thu.

Hạn hán kéo dài làm ruộng đồng khô cạn.

Nhiều nơi phải đối mặt với tình trạng hạn hán.

Cây cối héo úa vì hạn hán.",
45,"Bài 7: 
Hạt thóc",hạt thóc,hạt lúa còn nguyên cả vỏ trấu,"hạt gạo chưa bóc vỏ, màu nâu, không ăn được",https://drive.google.com/file/d/1GodxjdCDTp-wtH0oC0VNEOq5QnazLrAR/view?usp=drivesdk,,,,"thóc lúa, xay thóc, phơi thóc","- Bà cùng bé cho gà ăn thóc
- Ông và bà đang phơi thóc ngoài sân
- Bà xúc thóc vào thùng",
46,"Bài 7: 
Hạt thóc",thiên tai,"những tai họa lớn do các hiện tượng thiên nhiên như bão, lụt, hạn hán, giá rét, động đất,... gây nên, làm ảnh hưởng nặng nề đến đời sống và sản xuất","những tai họa tự nhiên như bão, lụt, hạn hán, động đất,... gây ảnh hưởng nặng nề đến đời sống con người",https://drive.google.com/file/d/13WIUjo5oFmyKHFiHJZbxjzLX7-ety99-/view?usp=drivesdk,,,,"khắc phục thiên tai
phòng chống thiên tai","- Thiên tai tàn phá mùa màng, làm đời sống con người trở nên khổ cực.
- Con người luôn phải khiếp sợ trước thiên tai.",*
47,"Bài 7: 
Hạt thóc",bình dị,"bình thường, giản dị","bình thường, giản dị",1. bình dị. photo.jpg,,,,"khung cảnh bình dị
con người bình dị
Từ đồng nghĩa: Giản dị, mộc mạc, đơn sơ, chân phương, khiêm nhường
Từ trái nghĩa: Xa hoa, lộng lẫy, phô trương, hào nhoáng, cầu kỳ.
",- Cuộc sống ở làng quê thật bình dị.  ,
