vocab_id,content
20,Cô bé mặc chiếc váy màu đỏ rất rực rỡ.
21,Những ngôi sao sáng lấp lánh giữa bầu trời đêm.
21,Giọt sương lấp lánh dưới ánh nắng.
21,Đôi mắt em bé lấp lánh niềm vui.
22,"Ngoài vườn của ngoại, hương ổi, hương cam, hơng bưởi thơm nhẹ nhàng"
22,Cô giáo nói chuyện rất nhẹ nhàng.
22,Làn gió nhẹ nhàng thổi qua cánh đồng.
22,Mẹ xoa đầu em rất nhẹ nhàng.
23,"Âm thanh cây đàn tranh ngân lên dìu dặt, tha thiết."
23,Tiếng đàn vang lên dìu dặt.
23,Giai điệu bài hát thật dìu dặt.
23,Tiếng sáo dìu dặt trong đêm trăng.
24,Sân trường tưng bừng trong ngày khai giảng.
24,Không khí lễ hội thật tưng bừng.
24,Cả làng tưng bừng đón Tết.
25,"Mùa xuân, cây trổ lộc báo hiệu một năm mới may mắn"
25,Cây bàng trước sân trường đang nhú lộc non.
25,Mùa xuân mang đến những chồi lộc xanh.
25,Cành đào có nhiều lộc biếc.
26,Lan đang mong chờ được gặp lại người bạn thân sau nhiều ngày xa cách
26,Em mong chờ ngày được gặp lại bạn bè.
26,Cả lớp mong chờ chuyến tham quan sắp tới.
26,Mọi người mong chờ một tin vui.
27,Hoa đào là loài hoa đặc trưng cho mùa xuân ở Miền Bắc
27,Áo dài là trang phục đặc trưng của Việt Nam.
27,Mỗi vùng miền đều có món ăn đặc trưng riêng.
27,Giọng nói của cô có nét đặc trưng rất dễ nhận ra.
28,"Ngoài vườn, trăm hoa đua nở rực rỡ."
28,Những bông hoa nở rực rỡ trong vườn.
28,Pháo hoa rực rỡ trên bầu trời đêm.
28,Chiếc váy của cô bé có màu sắc rất rực rỡ.
29,"Mỗi lần nghĩ đến phần thưởng khi được điểm tốt, cô ấy lại chúm chím môi cười, mắt sáng lên."
29,Cô bé chúm chím cười khi được khen.
29,Em bé chúm chím khi nhìn thấy mẹ.
29,Bạn Lan chúm chím cười rất dễ thương.
30,Bé Hoa có gương mặt xinh xắn và rất đáng yêu
30,Cô bé có khuôn mặt rất xinh xắn.
30,Búp bê của em trông thật xinh xắn.
30,Con mèo nhỏ xinh xắn đang nằm ngủ.
31,Em chăm tập thể dục để giữ thân thể mạnh khỏe và tinh thần thoải mái.
31,Ông em vẫn rất mạnh khỏe dù đã lớn tuổi.
31,Các bạn nhỏ cần ăn uống đủ chất để mạnh khỏe.
32,Mẹ chỉ mong em mạnh khỏe và học hành giỏi giang.
32,Chị của em rất giỏi giang trong học tập.
32,Bạn Lan là một học sinh giỏi giang.
32,Cô bé giỏi giang giúp đỡ bố mẹ nhiều việc.
33,"Mỗi khi Tết hè, nhà tôi lại ngồi quây quần bên mâm cơm và xem chương trình Chào năm mới."
33,Cả gia đình quây quần bên mâm cơm.
33,Mọi người quây quần bên bếp lửa trong đêm đông.
33,Ngày Tết là dịp để gia đình quây quần bên nhau.
34,Ngoài trời mưa rơi tí ta tí tách
34,Mưa rơi tí ta tí tách trên mái nhà.
34,Em nghe tiếng nước tí ta tí tách ngoài hiên.
34,Những giọt mưa tí ta tí tách rơi xuống lá.
35,Dòng sông lượn vòng quanh chân núi
35,Những cánh chim lượn trên bầu trời.
35,Con diều bay lượn theo chiều gió.
35,Đàn chim lượn vòng trên cánh đồng.
36,"Dưới chân đồi, đàn trâu đang gặm cỏ."
36,Ngôi nhà nhỏ nằm dưới chân đồi.
36,Những ruộng ngô xanh mướt ở chân đồi.
36,Chúng em dừng chân nghỉ dưới chân đồi.
37,Xa xa những ruộng bậc thang trải dài mênh mông.
37,Cánh đồng lúa trải dài mênh mông.
37,Biển xanh mênh mông trước mắt em.
37,Bầu trời cao rộng và mênh mông.
38,"Sáng sớm, ánh sáng dìu dịu chiếu qua cửa sổ."
38,Hương hoa lan tỏa mùi thơm dìu dịu.
38,Cơn gió dìu dịu thổi qua khu vườn.
38,Mùi hương dìu dịu khiến em rất dễ chịu.
39,"Ngoài khơi, sóng biển dập dờn đua nhau chạy về bờ."
39,Những con sóng dập dờn trên mặt biển.
39,Thuyền nhỏ dập dờn theo làn nước.
39,Cánh hoa dập dờn trong gió.
40,Các bạn nhỏ nói chuyện ríu rít.
40,Đàn chim ríu rít trên cành cây.
40,Các bạn nhỏ ríu rít trò chuyện.
40,Tiếng chim ríu rít làm buổi sáng thêm vui.
41,"Đến mùa thu hoạch, các bác nông dân rất bận rộn."
41,Nông dân đang thu hoạch lúa trên cánh đồng.
41,"Mùa thu hoạch đến, ai cũng bận rộn."
41,Vườn cam nhà em đang vào mùa thu hoạch.
42,"Bà ngoại nhìn em âu yếm, ánh mắt ngập tràn tình yêu"
42,Mẹ âu yếm xoa đầu em.
42,Cô giáo nhìn học sinh bằng ánh mắt âu yếm.
42,Bà âu yếm ôm cháu vào lòng.
43,"Dù phải đi đường xa vất vả, em vẫn về quê thăm bà thường xuyên"
43,Bố mẹ làm việc rất vất vả để nuôi em ăn học.
43,Người nông dân vất vả ngoài đồng.
43,"Sau một ngày làm việc vất vả, ai cũng muốn nghỉ ngơi."
44,Năm nay hạn hán kéo dài nên mùa màng không được bội thu.
44,Hạn hán kéo dài làm ruộng đồng khô cạn.
44,Nhiều nơi phải đối mặt với tình trạng hạn hán.
44,Cây cối héo úa vì hạn hán.
45,Bà cùng bé cho gà ăn thóc
45,Ông và bà đang phơi thóc ngoài sân
45,Bà xúc thóc vào thùng
46,"Thiên tai tàn phá mùa màng, làm đời sống con người trở nên khổ cực."
46,Con người luôn phải khiếp sợ trước thiên tai.
47,Cuộc sống ở làng quê thật bình dị.
48,Luỹ tre xanh đứng sừng sững như người gác cổng làng.
48,Đầu làng em có một lũy tre xanh mướt.
49,Tiếng sóng vỗ rì rào
49,Gió thổi rì rào qua kẽ lá
50,Bố ngồi bần thần trên ghế vì lo ông ốm
50,Vẻ mặt bố bần thần và lo lắng
51,Chị ngã em nâng
51,Bố đang nâng tạ
52,Bé chạy lon ton theo mẹ
52,Chú chó chạy lon ton theo chân em đi chơi
53,Đàn chim sáo đua nhau hót ríu rít
53,Chim sáo đậu trên cành cây xem em học bài
54,"Buổi sáng, chim liếu điều đang đi tìm thức ăn cho ngày mới"
54,"Trong bụi tre, mấy chú liếu điếu đang đùa nghịch."
55,Chú hề làm những trò rất tếu
55,Bố em hay kể những câu chuyện tếu làm cả nhà cùng cười.
56,"Ngoài đồng, chim chìa vôi bay đi tìm thức ăn."
56,Chú chim chìa vôi vừa hót vừa ngoáy cái đuôi dài
57,"Con chim chèo bẻo có cái đuôi dài, bay lượn rất uyển chuyển."
58,Mách lẻo chuyện của người khác là thói quen không tốt.
58,Không nên mách lẻo chuyện của người khác
58,Bạn Tú có tính hay mách lẻo nên mọi người không thích.
59,Những chú chim lân la nhặt lá
59,Các bác hàng xóm lân la lại gần nói chuyện
60,Chim sẻ đậu trên mái nhà kêu ríu rít
60,Con chim sẻ nhỏ bé nhưng rất nhanh nhẹn
61,"Buổi sáng, chim sâu hót líu lo trong vườn."
61,Chim sâu bay từ cành này sang cành khác tìm thức ăn
62,Tiếng chim tu hú vang lên báo hiệu mùa hè đã đến.
62,"Khi tiếng chim tu hú gọi bầy, vườn vải quê em đã chín đỏ."
63,Tiếng cú mèo vang lên trong khu rừng yên tĩnh
63,Cú mèo lặng lẽ bay trong đêm như một người gác rừng
64,Khủng long rất to lớn và đáng sợ
64,Khủng long là loài động vật ăn thịt
65,Tòa nhà khổng lồ cao vút giữa thành phố
65,Một con khủng long khổng lồ xuất hiện trong bộ phim
66,Ai cũng cần biết cách tự vệ
67,Thánh Gióng dũng mãnh nhổ cây tre đánh tan quân thù.
67,Đại bàng sải cánh dũng mãnh
68,Khủng long là loài vật đã tuyệt chủng
68,Hiện nay có rất nhiều loài động vật trong sách đỏ đang có nguy cơ tuyệt chủng
69,Cô bé có dáng người mảnh khảnh và bước đi nhẹ nhàng.
69,Bạn Lan trông rất mảnh khảnh trong bộ áo dài trắng.
70,Con kiến nhỏ xíu bò trên mặt bàn.
70,Bé có bàn tay nhỏ xíu
70,Ngôi nhà nhỏ xíu nằm bên bờ sông.
71,Con bồ nông bay quanh những chiếc thuyền chờ bắt cá.
71,Bồ nông có chiếc mỏ rất dài và to.
72,Con bói cá lao xuống nước rất nhanh để bắt mồi.
72,Bói cá có bộ lông nhiều màu sắc rất đẹp.
73,Con chim cu có bộ lông xám và cổ có vệt đen trắng.
73,Ông em nuôi một con chim cu trong lồng tre.
74,Bà có cái chổi tre
75,Tiếng lá mùa thu xao xác không ngừng
76,Cơn giông ngày một lớn dần
77,"Đêm đến, ngôi trường trở nên lặng ngắt"
78,Cô lao công trường em rất chăm chỉ và cẩn thận
79,Mùa đông trời rất rét
80,Em bừng tỉnh khỏi giấc ngủ
81,Thời tiết trở nên ấm áp
82,"Mùa xuân, chim én bay trở về"
83,Em sửa soạn sách vở để ngày mai đi học
84,Em bé khóc nấc vì không thấy mẹ
85,Tiếng khóc thút thít vọng ra từ góc lớp
86,Mẹ yên tâm khi thấy em đi vào lớp
87,Mẹ nhoẻn miệng cười khi em được điểm tốt
88,Con sao biển kia có màu vàng
89,"Trời tối, thủy triều dâng lên"
90,Đại dương là nơi rất rộng lớn
91,Bà luôn nhìn em thật trìu mến
92,Con bọ cánh cam đậu lên bông hoa nhỏ
93,Em bé tập tễnh tập đi
94,Viên bi dưới ánh nắng trông óng ánh thật đẹp
95,Bố khệ nệ khiêng bàn ra sân
96,Quả bóng tròn lẳn lăn xuống dốc
97,Cẩn thận là một đức tính tốt
98,Bạn An ngơ ngác khi biết mình được điểm 10
99,Em hi vọng mình sẽ được tặng một quyển truyện cổ tích vào ngày sinh nhật
100,"Ngày nay, áo phông là loại áo vô cùng phổ biến"
101,Đây là một loài chim có bộ lông vô cùng đặc biệt
102,Đây là một công việc rất nhẹ nhàng
103,Gói bánh chưng ngày Tết là một trong những truyền thống của nước ta
104,Em thường giao tiếp với bạn bè
105,Em rất thích đến thư viện đọc sách
106,Thế giới hòa bình là mong ước của rất nhiều người
107,Ngọn núi Everest thật là khổng lồ
108,Thư viện di động đi khắp nơi trên đất nước
109,Người thủ thư ở thư viện trường em rất dịu dàng
110,Trên sa mạc có rất nhiều cát
111,Em xin lỗi vì đã làm mẹ phật ý.
111,Bạn Lan sợ nói thẳng sẽ làm bạn mình phật ý.
111,Cô giáo nhẹ nhàng góp ý để không làm học sinh phật ý
112,Bạn Nam luôn nói chuyện rất lịch sự.
112,Chúng ta cần cư xử lịch sự với mọi người.
112,Em chào hỏi người lớn một cách lịch sự.
113,Em cảm thấy xấu hổ vì không làm bài tập
113,Em cảm thấy xấu hổ khi nói sai trước lớp.
113,Bạn nhỏ cúi đầu vì xấu hổ.
113,Cậu bé xấu hổ khi bị nhắc nhở.
114,Cô giáo muốn trao đổi trực tiếp với phụ huynh.
114,Chúng em gặp nhau trực tiếp để thảo luận bài tập.
114,Thầy giáo hướng dẫn học sinh trực tiếp trên lớp.
115,Các bạn trao đổi ý kiến về bài học.
115,Cô giáo trao đổi với phụ huynh về việc học của học sinh.
115,Chúng em thường trao đổi bài với nhau.
116,Huấn luyện viên đang huấn luyện đội bóng.
116,Các vận động viên chăm chỉ tập luyện theo sự huấn luyện của thầy.
116,Chú bộ đội được huấn luyện rất nghiêm túc.
117,Cô giáo cung cấp thông tin về cuộc thi.
117,Chúng em tìm thông tin trên sách và báo.
117,Bạn Lan chia sẻ thông tin hữu ích cho lớp.
118,Em giải bài toán này rất dễ dàng.
118,"Nhờ luyện tập, bạn ấy đọc tiếng Anh dễ dàng hơn."
118,Công việc trở nên dễ dàng khi có sự giúp đỡ.
119,Em dùng In tơ net để học
119,"Nhờ có mạng in-tơ-nét, em tìm được nhiều thông tin hữu ích."
119,Nhiều người dùng in-tơ-nét để học tập và làm việc.
120,Hùng Vương là vị vua của nhà nước Văn Lang
120,Ngày 10 tháng 3 là ngày Giỗ tổ Hùng Vương
120,Các Vua Hùng có công dựng nước.
120,Nhân dân tưởng nhớ công lao của Vua Hùng.
120,Ngày Giỗ Tổ là dịp tưởng nhớ các Vua Hùng.
121,Anh ấy buồn vì bị hiểu lầm
121,Em xin lỗi vì đã hiểu lầm bạn.
121,Hai bạn nói chuyện để giải thích sự hiểu lầm.
121,Một lời nói thiếu rõ ràng dễ gây hiểu lầm.
122,Con thuyền trôi dạt vào một đảo hoang.
122,Trên đảo hoang không có nhà cửa.
122,Họ phải tìm cách sinh sống trên đảo hoang.
123,Mầm cây mẹ trồng bắt đầu nảy mầm
123,Hạt đậu đã nảy mầm sau vài ngày.
123,Cây non bắt đầu nảy mầm sau cơn mưa.
123,Những hạt giống nhỏ bé đang nảy mầm.
124,Tin vui lan rộng khắp làng.
124,Mùi hương hoa lan rộng trong vườn.
124,Niềm vui lan rộng khắp lớp học.
125,Nam hối hận vì không nghe lời mẹ
125,Cậu bé rất hối hận vì nói dối.
125,Bạn ấy hối hận về lỗi lầm của mình.
125,Em biết nhận lỗi và hối hận.
126,Ngôi làng nằm ở nơi xa xôi.
126,Bạn ấy đến từ một vùng đất xa xôi.
126,Đường đến đó rất xa xôi.
127,Mẹ bằng lòng cho em đi chơi.
127,Cô giáo bằng lòng với câu trả lời của em.
127,Bạn ấy vui vẻ bằng lòng giúp đỡ.
128,Việt Nam có nhiều hòn đảo đẹp.
128,Ngư dân sống trên đảo.
128,Con tàu tiến gần một hòn đảo.
130,Quân dân ta chiến đấu chống giặc Nguyên.
130,Giặc Nguyên nhiều lần xâm lược nước ta.
130,Các tướng sĩ quyết tâm đánh bại giặc Nguyên.
131,Sứ thần được cử sang nước láng giềng.
131,Nhà vua tiếp đón sứ thần rất trọng thị.
131,Sứ thần mang theo thư của vua.
132,Cậu bé giả vờ ngủ để trốn học.
132,Bạn ấy giả vờ không biết chuyện.
132,Em không nên giả vờ khi mắc lỗi.
133,Nhân dân ta đứng lên chống lại sự xâm chiếm.
133,Quân ta bảo vệ đất nước trước kẻ xâm chiếm.
134,ên giặc có thái độ rất ngang ngược.
134,Cậu bé bị nhắc nhở vì cư xử ngang ngược.
134,Hành động ngang ngược khiến mọi người bức xúc.
135,Trần Quốc Toản là một anh hùng nhỏ tuổi.
135,Câu chuyện Trần Quốc Toản rất nổi tiếng.
135,Chúng em học tập tinh thần yêu nước của Trần Quốc Toản.
136,Mọi người phải tuân theo phép nước.
136,Nhà vua giữ nghiêm phép nước.
136,Ai vi phạm sẽ bị xử theo phép nước.
137,Cậu bé cảm thấy rất ấm ức.
137,Bạn ấy ấm ức vì bị hiểu lầm.
137,Em nên nói ra để không còn ấm ức.
138,"Theo thường lệ, chúng em chào cờ vào sáng thứ hai."
138,Cô giáo đến lớp như thường lệ.
138,Mọi việc diễn ra như thường lệ.
139,Con đường lên núi rất ngoằn ngoèo.
139,Dòng suối chảy ngoằn ngoèo.
139,Đường đi ngoằn ngoèo khó đi.
140,Cậu bé tần ngần trước cửa.
140,Bạn ấy tần ngần chưa dám nói.
140,Em tần ngần suy nghĩ một lúc.
141,Chú cần vụ giúp đỡ mọi người trong đơn vị.
141,Chú cần vụ rất chăm chỉ.
141,Mọi người quý mến chú cần vụ.
142,Cô giáo ân cần hỏi thăm học sinh.
142,Bà ân cần chăm sóc cháu.
142,Mọi người ân cần giúp đỡ nhau.
143,Em mạnh dạn nêu thắc mắc với cô giáo.
143,Cô giáo giải đáp thắc mắc cho học sinh.
143,Bạn Lan có nhiều thắc mắc về bài học.
144,Tết Trung Thu là tết của Thiếu nhi
144,Thiếu nhi cần chăm chỉ học tập.
144,Các bạn thiếu nhi vui chơi trong công viên.
144,Thiếu nhi Việt Nam rất chăm ngoan.
145,Hà Nội là thủ đô của Việt Nam                                                                  - Thủ đô Hà Nội có nhiều di tích lịch sử nổi tiếng.
146,Anh hùng dân tộc luôn được nhân dân kính trọng.                                                           - Anh hùng luôn hy sinh vì lẽ phải
147,Em sẽ cố gắng học hành để làm rạng danh quê hương đất nước.
148,Lịch sử ghi lại quá khứ của dân tộc.                                                                                                                                    - Em yêu môn học Lịch sử
149,"Việt Nam có khí hậu nhiệt đới.                                                                                                                                           - Khí hậu nơi đây mát mẻ, dễ chịu."
150,Dân tộc Việt Nam có truyền thống tốt đẹp.                                                                                                                              - Yêu nước là truyền thống tốt đẹp của dân tộc ta.                                                                                                                       - Chúng ta cần phát huy truyền thống dân tộc.
151,Quê hương em biết bao tươi đẹp.
152,Em rất thích nghe bà kể ca dao mỗi tối.                                               - Những câu ca dao giúp em hiểu thêm về cuộc sống và con người Việt Nam.
153,Vua Hùng có công dựng nước Văn Lang.                                                                                                                      - Nhân dân tưởng nhớ công lao vua Hùng.
154,Cô giáo dùng tranh hoạ đồ để giảng bài.                                                                                                                                 - Tranh hoạ đồ rực rỡ và nhiều màu sắc.
155,Chúng em khám phá thiên nhiên.
155,Bé thích khám phá xung quanh.
156,Em mến thương bạn bè.                                                                                   - Mọi người phải luôn mến thương nhau
157,Con dúi đào hang sâu để trú ẩn và kiếm thức ăn.
157,Em nhìn thấy con dúi chạy nhanh vào bụi tre.
157,Con dúi là loài động vật sống chủ yếu ở rừng núi.
158,Mọi người thương tình giúp đỡ em nhỏ.                                                                                                                                - Mọi người thương tình tha lỗi cho em.
159,Lúa trên nương đã chín vàng .                                                                                                                                          - Chị em nương tựa lẫn nhau.
160,Lũ lụt gây nhiều hậu quả nặng nề.                                                                                                                          - Người dân phòng tránh lũ lụt.
161,Cánh đồng lúa mênh mông.                                                                                                                                                       - Núi rừng mênh mông hùng vĩ.
162,"Chú mèo may mắn thoát nạn trong đám cháy.                                                                                                                - Nhờ mọi người giúp đỡ, tôi đã may mắn thoát nạn."
163,Gió thổi làm lá lao xao.                                                                                                               - Ngoài sân vang lên tiếng lao xao.
164,Các bạn học sinh lần lượt xếp hàng vào lớp.                                                                                                    - Khách hàng lần lượt ra về.
165,Con cháu luôn ghi nhớ công lao của tổ tiên.                                                        - Mỗi người đều có tổ tiên của mình.
166,Dân tộc Việt Nam có lịch sử lâu đời.                                           - Mỗi dân tộc đều có bản sắc riêng.
167,Trường Sa là quần đảo của Việt Nam.                                                                                                                                           - Các chiến sĩ  ngày đêm canh giữ quần đảo  Trường Sa.
168,Chuyến tham quan ấy thật kì thú.
168,– Thế giới thiên nhiên có nhiều điều kì thú
169,Chúng em thích thám hiểm thiên nhiên.                             - Nhà khoa học thám hiểm Bắc Cực.
170,Câu chuyện cô giáo kể thật thú vị                                                                          - Cuộc trò chuyện ấy thú vị bất ngờ.
171,Vườn hoa rực rỡ sắc màu.                        - Pháo hoa rực rỡ trên bầu trời đêm.
172,Sương mù dày đặc vào sáng sớm.                                                   - Mây dày đặc che kín bầu trời.
173,Điện thoại di đông rất tiện lợi.                                             - Chiếc xe đang di động trên đường.
174,San hô sống dưới biển.                                                            - Rạn san hô rất đẹp
175,Con cá voi khổng lồ bơi dưới biển.                                                               - Quả bóng khổng lồ bay trên trời.
176,Mái trường thân yêu của em.                                                                                                                                                                       - Bạn bè thân yêu giúp đỡ nhau.
177,Hồ Gươm rất đẹp và yên bình.
178,Quả trứng có hình bầu dục.
178,Chiếc gương bầu dục treo trên tường.
179,Cô ấy có đôi mắt sáng long lanh.                                                                                                                                                             - Giọt sương long lanh trên lá.
180,Mọi người đi qua cầu Thê Húc để vào đền.
180,Cầu Thê Húc bắc qua hồ Hoàn Kiếm.
181,Nhiều người đến thăm đền Ngọc Sơn.
181,Đền Ngọc Sơn là một nơi linh thiêng.
182,Mặt trời lấp ló sau rặng núi.
182,– Chú mèo lấp ló sau cánh cửa.
183,Vườn cây xum xuê lá xanh.
183,– Hàng tre xum xuê trước nhà.
184,Du khách thích tham quan Tháp Rùa.                                                                                                                                  - Du khách thích tham quan Tháp Rùa.
185,Phố cổ mang vẻ đẹp cổ kính.                                                                                                                                                  - Ngôi đến trang nghiêm và cổ kính.
186,Em ngân nga một bài hát.
186,– Tiếng chim ngân nga buổi sáng.
187,Vầng dương đỏ rực lúc bình minh.
187,– Vầng dương tỏa nắng ấm áp.
188,Kim cương rất quý hiếm và đắt đỏ .                                                                                                                                - Chiếc nhẫn đó được làm bằng kim cương sáng lấp lánh.
189,Ánh sao lấp lánh trên trời.
189,– Dòng sông lấp lánh dưới nắng.
190,Nắng ban mai dịu nhẹ.                                                                                                                                                      - Ban mai gọi ngày mới.
191,Quê em có dòng sông hiền hoà.                                - Ánh mắt mẹ hiền hoà.
192,Sóng biển dập dờn ngoài khơi.
192,– Ánh đèn dập dờn trong đêm.
193,Chim chiền chiện hót trên cánh đồng.
193,– Tiếng chiền chiện vang giữa trời xanh.
194,Con chim chiền chiện kêu tích ri tích rích
195,Cô bé ngân nga câu hát quen  thuộc.                                                                                                                           - Chim hót ngân nga buổi sớm.
196,Cánh đồng lúa mênh mông.                                                                                                                                             - Sa mạc mênh mông cát trắng.
